"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0010948","negative regulation of cell cycle process","35/263","309/18842",0.113268608414239,8.11485596859734,15.0034512424394,7.94691259553126e-22,4.95513373603714e-20,4.48756484711909e-20,"NDC80/KNTC1/ZWINT/ORC1/E2F1/RAD51/BIRC5/TTK/FBXO5/TRIP13/AURKB/CDC45/NUF2/CDK1/PKMYT1/CCNB1/SPC24/PLK1/NEK2/CENPF/CDC20/CDC6/BRCA2/CHEK1/BUB1/CDCA8/SKA1/KNL1/SPC25/DTL/GMNN/SKA3/CCNF/CDT1/CLSPN",35
"GO:0031577","spindle checkpoint signaling","19/263","57/18842",0.333333333333333,23.8808618504436,20.5836737039762,1.16416307423249e-21,7.05150204963682e-20,6.38611880184e-20,"NDC80/KNTC1/ZWINT/BIRC5/TTK/TRIP13/AURKB/NUF2/CCNB1/SPC24/PLK1/CENPF/CDC20/BUB1/CDCA8/SKA1/KNL1/SPC25/SKA3",19
"GO:1902099","regulation of metaphase/anaphase transition of cell cycle","23/263","103/18842",0.223300970873786,15.9978589095205,18.1590595202658,1.61239259773534e-21,9.49520085333036e-20,8.5992289685037e-20,"NDC80/KNTC1/UBE2C/ZWINT/BIRC5/TTK/FBXO5/TRIP13/AURKB/NUF2/CCNB1/DLGAP5/SPC24/PLK1/CENPF/CDC20/CDC6/BUB1/CDCA8/SKA1/KNL1/SPC25/SKA3",23
"GO:0007091","metaphase/anaphase transition of mitotic cell cycle","23/263","104/18842",0.221153846153846,15.8440333430828,18.0603289059342,2.04487281828099e-21,1.17165685804208e-19,1.061098732976e-19,"NDC80/KNTC1/UBE2C/ZWINT/BIRC5/TTK/FBXO5/TRIP13/AURKB/NUF2/CCNB1/DLGAP5/SPC24/PLK1/CENPF/CDC20/CDC6/BUB1/CDCA8/SKA1/KNL1/SPC25/SKA3",23
"GO:0044784","metaphase/anaphase transition of cell cycle","23/263","107/18842",0.214953271028037,15.3998081091646,17.772168678565,4.10501434292954e-21,2.29016589658174e-19,2.07406470118614e-19,"NDC80/KNTC1/UBE2C/ZWINT/BIRC5/TTK/FBXO5/TRIP13/AURKB/NUF2/CCNB1/DLGAP5/SPC24/PLK1/CENPF/CDC20/CDC6/BUB1/CDCA8/SKA1/KNL1/SPC25/SKA3",23
"GO:0007093","mitotic cell cycle checkpoint signaling","25/263","140/18842",0.178571428571429,12.7933188484519,16.6638256723026,9.46607201527079e-21,5.1456596595831e-19,4.66011264956317e-19,"NDC80/KNTC1/ZWINT/ORC1/BIRC5/TTK/TRIP13/AURKB/NUF2/CDK1/CCNB1/SPC24/PLK1/CENPF/CDC20/CDC6/CHEK1/BUB1/CDCA8/SKA1/KNL1/SPC25/DTL/SKA3/CLSPN",25
"GO:1901988","negative regulation of cell cycle phase transition","32/263","269/18842",0.118959107806691,8.52253805815088,14.784893002514,1.12474812926418e-20,5.96116508510017e-19,5.39866657668929e-19,"NDC80/KNTC1/ZWINT/ORC1/E2F1/RAD51/BIRC5/TTK/FBXO5/TRIP13/AURKB/CDC45/NUF2/CDK1/PKMYT1/CCNB1/SPC24/PLK1/CENPF/CDC20/CDC6/BRCA2/CHEK1/BUB1/CDCA8/SKA1/KNL1/SPC25/DTL/SKA3/CDT1/CLSPN",32
"GO:0002449","lymphocyte mediated immunity","35/263","339/18842",0.103244837758112,7.39672712181881,14.1401911663508,1.70614903614384e-20,8.82203891859742e-19,7.98958692942886e-19,"IGLC3/IGHV4-59/KIR2DL4/IGHV3-7/IGHV3-53/IGHV1-58/IGHA1/IGHV3-20/IGHV2-5/IGHV6-1/IGHV3-73/SLAMF7/IGHV4-34/IGHV4-61/IGHV2-70/IGHV3-15/IGHV3-49/IGKC/IGLC2/IGHA2/IGHG1/IGHV3-66/IGHV3-11/IGHV1-18/IGHV3-30/IGHV3-33/IGHG3/IGHV3-21/IGHV4-28/IGHV3-23/IGHV1-24/IGHV5-51/IGHV3-64/C1QC/IGHV4-39",35
"GO:1901990","regulation of mitotic cell cycle phase transition","35/263","345/18842",0.101449275362319,7.26808838926544,13.9801777403551,3.03126098191371e-20,1.5300650670612e-18,1.38568736476527e-18,"NDC80/KNTC1/UBE2C/RRM2/CDC25A/ZWINT/ORC1/E2F1/BIRC5/TTK/FBXO5/TRIP13/AURKB/NUF2/CDK1/PKMYT1/CCNB1/DLGAP5/SPC24/PLK1/CENPF/CDC20/AURKA/CDC6/CHEK1/BUB1/CDCA8/SKA1/KNL1/SPC25/ANLN/DTL/SKA3/STIL/CLSPN",35
"GO:0033044","regulation of chromosome organization","30/263","246/18842",0.121951219512195,8.73690067699156,14.5326056221799,9.46209003622017e-20,4.66503043646204e-18,4.22483583947628e-18,"NDC80/KNTC1/UBE2C/FEN1/RMI2/ZWINT/NCAPG/BIRC5/TTK/FBXO5/TRIP13/AURKB/NUF2/CDK1/CCNB1/DLGAP5/SPC24/PLK1/NEK2/NCAPH/CENPF/CDC20/CDC6/BUB1/CDCA8/PIF1/SKA1/KNL1/SPC25/SKA3",30
"GO:1901987","regulation of cell cycle phase transition","39/263","459/18842",0.0849673202614379,6.08727851089739,13.1281141787204,1.013590994199e-19,4.88366569932246e-18,4.42284056996772e-18,"NDC80/KNTC1/UBE2C/RRM2/CDC25A/ZWINT/ORC1/E2F1/RAD51/BIRC5/TTK/FBXO5/TRIP13/AURKB/CDC45/NUF2/CDK1/PKMYT1/CCNB1/DLGAP5/SPC24/PLK1/CENPF/CDC20/AURKA/CDC6/BRCA2/CHEK1/BUB1/CDCA8/SKA1/KNL1/SPC25/ANLN/DTL/SKA3/STIL/CDT1/CLSPN",39
"GO:0050000","chromosome localization","23/263","123/18842",0.186991869918699,13.3965810380537,16.4108788358637,1.18520150936033e-19,5.5836159996531e-18,5.05674321111142e-18,"NDC80/KNTC1/ZWINT/BIRC5/KIF2C/TTK/AURKB/NUF2/CDK1/CCNB1/DLGAP5/SPC24/NEK2/CENPF/KIFC1/CDCA8/SKA1/KNL1/SPC25/CENPA/SPAG5/SKA3/CDT1",23
"GO:1901991","negative regulation of mitotic cell cycle phase transition","27/263","190/18842",0.142105263157895,10.1807884730839,15.1325723867201,1.26291861979001e-19,5.82040755207568e-18,5.27119099463304e-18,"NDC80/KNTC1/ZWINT/ORC1/BIRC5/TTK/FBXO5/TRIP13/AURKB/NUF2/CDK1/PKMYT1/CCNB1/SPC24/PLK1/CENPF/CDC20/CDC6/CHEK1/BUB1/CDCA8/SKA1/KNL1/SPC25/DTL/SKA3/CLSPN",27
"GO:0051310","metaphase chromosome alignment","22/263","109/18842",0.201834862385321,14.4599713956814,16.7676577560271,1.31221373981456e-19,5.91892154980185e-18,5.36040916243545e-18,"NDC80/KNTC1/ZWINT/BIRC5/KIF2C/TTK/AURKB/NUF2/CDK1/CCNB1/SPC24/NEK2/CENPF/KIFC1/CDCA8/SKA1/KNL1/SPC25/CENPA/SPAG5/SKA3/CDT1",22
"GO:0007346","regulation of mitotic cell cycle","40/263","492/18842",0.0813008130081301,5.82460045132771,12.9016290814341,1.60202009485149e-19,7.07558875226073e-18,6.40793267119976e-18,"NDC80/KNTC1/UBE2C/RRM2/CDC25A/ZWINT/ORC1/E2F1/BIRC5/TTK/FBXO5/TRIP13/AURKB/NUF2/CDK1/PKMYT1/CCNB1/DLGAP5/SPC24/PLK1/NEK2/CENPF/CDC20/AURKA/CDC6/CHEK1/BUB1/CDCA8/SKA1/KNL1/SPC25/FOXM1/ANLN/MKI67/DTL/GMNN/CDCA2/SKA3/STIL/CLSPN",40
"GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","35/263","377/18842",0.0928381962864721,6.65116841988482,13.1872108873688,5.38047722490944e-19,2.32787994220572e-17,2.10822003066876e-17,"IGLC3/ZBTB46/IGHV4-59/IGHV3-7/IGHV3-53/IGHV1-58/IGHA1/IGHV3-20/IGHV2-5/IGHV6-1/IGHV3-73/IGHV4-34/IGHV4-61/IGHV2-70/IGHV3-15/IGHV3-49/IGKC/IGLC2/IGHA2/IGHG1/IGHV3-66/IGHV3-11/IGHV1-18/IGHV3-30/IGHV3-33/IGHG3/IGHV3-21/IGHV4-28/IGHV3-23/IGHV1-24/IGHV5-51/IGHV3-64/C1QC/IGHV4-39/STAT5A",35
"GO:0008608","attachment of spindle microtubules to kinetochore","17/263","55/18842",0.309090909090909,22.1440718976841,18.6835731024952,7.3265774860215e-19,3.10646885407312e-17,2.81334090477197e-17,"NDC80/KNTC1/BIRC5/KIF2C/AURKB/NUF2/CDK1/CCNB1/SPC24/NEK2/CDCA8/SKA1/KNL1/SPC25/SPAG5/SKA3/CDT1",17
